idx*act*icon_color*activity_id*keep*mime_type*mtime*preview*share_scope*timestamp*title*title_set_by_user*uid
20*org.laptop.sugar.ReadActivity*#00A0FF,#9A5200*6467c9db23dbb03872b5efc99a3ce7110881f819*0*application/pdf*2013-07-14T18:17:53.489558*NA*NA*1373825873*Little Brother, by Cory Doctorow*1*76febbfc-a583-4973-83a2-dcf9d8e76c78
21*org.laptop.TurtleArtActivity*#FF2B34,#FF8F00*846d7550bf1a00a9420f7bb2926975a8e9128a0e*0*application/x-turtle-art*2013-07-30T01:39:00.460477*NA*private*1375148340*TurtleBlocks Activity*0*786ba7d2-8807-41ce-8c4a-9fc7af9de9c7
22*org.laptop.Memorize*#FF8F00,#BE9E00*f21e0d2b0f8a68c586e69bca9f9ae104792762a7*0*NA*2013-08-04T03:58:01.295188*NA*private*1375588681*Memorize Activity*1*1652f9f0-c1c3-4626-8921-b761b5dd868e
23*org.gnome.Labyrinth*#00EA11,#5E008C*6300dbd6d370ab8f0256d0a47e442352ab50cca8*0*NA*2011-09-03T19:25:21.517370*NA*private*1315103121*Labyrinth Activity*0*016d6a99-ae8e-4915-8a8b-f3ba0609da72
24*org.laptop.physics*#00EA11,#5E008C*87e2af46ee4b441acb2a8be0419aab33e3efebac*0*application/x-physics-activity*2011-09-03T19:36:22.852301*NA*private*1315103782*Physics Activity*0*0715af38-f13d-452f-bc21-740d8ed90114
25*org.laptop.Calculate*#00A0FF,#9A5200*b1ee18fcbb272ffe0051c843122341dd63f52522*0*NA*2013-07-14T19:13:27.521884*NA*private*1373829207*Calculate Activity*0*943f5c23-b1e0-4594-b4b2-9ccf356f0749
26*org.sugarlabs.MusicKeyboard*#FF2B34,#FF8F00*8382c6efdad0c5be0c3e55130ee104355573bac5*0*NA*2013-07-29T00:39:15.891973*NA*private*1375058355*Music Keyboard Activity*0*ca2b668b-183f-435b-9b77-e56263586334
27*NA*#00EA11,#5E008C*933fa200180d46fcfe1f50737fc6e3f85b29b062*0*text/csv*2013-08-05T23:08:40.265412*NA*NA*1375758520*Measure Log*1*a2613bde-67e8-49eb-be0d-3cb3dcda72db
28*com.jotaro.ImplodeActivity*#FF2B34,#FF8F00*a1063274334a5cddcb694f7f637ae1c47aae1536*0*NA*2013-07-28T17:51:13.883313*NA*private*1375033873*Implode Activity*0*07b51e88-0ad6-4d68-a437-a177fc16c87a
29*org.sugarlabs.InfoSlicer*#00A0FF,#9A5200*376d3f0a7817a6f8ca395051fd87f2d4dab0a5e8*0*NA*2013-07-28T17:54:55.496249*NA*private*1375034095*InfoSlicer Activity*0*5d0691ee-24ba-47d1-8ae0-1f3f37c3e15a
30*org.laptop.Oficina*#00A0FF,#9A5200*ca572fe8b04978b9adacfffd920561e66d10f174*0*image/png*2013-07-14T19:22:19.160165*NA*private*1373829739*Paint Activity*0*6ff4ee14-56db-4e69-83a9-c43b6e9ab05f
31*org.laptop.WebActivity*#AC32FF,#FF8F00*afb0c2d7d99120e161f28b1c6a9b8fa43310d34f*0*text/plain*2013-08-05T23:29:43.100574*NA*private*1375745383*Angry Birds Chrome*0*c2b06ec8-28e3-4dff-ae63-4abd29a1b8a5
32*org.laptop.physics*#FF2B34,#FF8F00*a09acd913d4e6e29e1ee78a297bec707693e943c*0*application/x-physics-activity*2013-07-28T16:04:15.757883*NA*private*1375027455*Physics Activity*0*00dc55d6-dd41-4007-ac0b-6e052ee7f8c0
